alpha,cy_b,cy_p,cy_r,cy_da,cy_dr,croll_b,croll_p,croll_r,croll_da,croll_dr,cn_b,cn_p,cn_r,cn_da,cn_dr,cd0,cd_q,cd_de,clift0,clift_q,clift_de,cm0,cm_q,cm_de
-18,-0.0224,0.001,0.031,0.000654117,0.004840201,0.0011,-0.003,0,-0.002095022,0.0022,-0.00142,0,-0.074,-0.0007,-0.0043,0.124,-0.001,0.0025,-0.292,0.032,0.0056,-0.359,-0.074,-0.0058
-15,-0.0223,0,0.032,0.001090667,0.004892184,0.0008,-0.004,0,-0.002128414,0.0021,-0.00147,0,-0.075,-0.0004,-0.0048,0.091,-0.002,0.0018,-0.233,0.032,0.0054,-0.314,-0.075,-0.0053
-12,-0.0209,0,0.031,0.001202175,0.004765664,0.0007,-0.003,0,-0.00192067,0.0018,-0.00163,0,-0.074,-0.0004,-0.0044,0.064,-0.001,0.0011,-0.177,0.031,0.005,-0.263,-0.073,-0.0048
-9,-0.0189,0,0.029,0.001043868,0.004689026,0.0005,-0.003,0,-0.001744699,0.0015,-0.00182,0,-0.072,-0.0003,-0.0041,0.044,0.001,0.0004,-0.123,0.029,0.0044,-0.206,-0.071,-0.0042
-6,-0.0158,0,0.027,0.000799772,0.00469141,0.0002,-0.003,0,-0.001715315,0.0012,-0.0021,0,-0.07,-0.0002,-0.0043,0.035,0.002,0.0001,-0.077,0.026,0.0041,-0.141,-0.069,-0.0038
-3,-0.0128,0,0.024,0.000647598,0.004728002,0,-0.003,0,-0.002617956,0.0009,-0.00234,0,-0.067,-0.0002,-0.0047,0.031,0.001,-0.0002,-0.034,0.022,0.004,-0.073,-0.065,-0.0038
0,-0.0109,0,0.021,0.000684106,0.004749297,0,-0.002,0,-0.00616032,0.0005,-0.00251,0,-0.065,-0.0004,-0.0048,0.03,0,-0.0005,0,0.021,0.0044,0,-0.065,-0.0042
3,-0.0128,0,0.024,0.000899988,0.004730812,0,-0.003,0,-0.002652454,0.0002,-0.00234,0,-0.067,-0.0008,-0.0046,0.031,-0.001,-0.0012,0.034,0.025,0.005,0.073,-0.068,-0.0048
6,-0.0158,0,0.027,0.001192532,0.004677275,-0.0002,-0.003,0,-0.001295412,-0.0002,-0.0021,0,-0.07,-0.0013,-0.0043,0.035,-0.002,-0.0021,0.077,0.028,0.0054,0.141,-0.071,-0.0054
9,-0.0189,0,0.029,0.001403553,0.004612752,-0.0005,-0.003,0,-0.001248,-0.0006,-0.00182,0,-0.072,-0.0017,-0.0043,0.044,0.001,-0.0028,0.123,0.03,0.0056,0.206,-0.073,-0.0056
12,-0.0209,0,0.031,0.001369279,0.004565725,-0.0007,-0.003,0,-0.001161523,-0.0009,-0.00163,0,-0.074,-0.002,-0.0045,0.064,0.002,-0.0032,0.177,0.032,0.0054,0.263,-0.075,-0.0056
15,-0.0223,0,0.032,0.000968123,0.004555584,-0.0008,-0.004,0,-0.00058,-0.001,-0.00147,0,-0.075,-0.0019,-0.0046,0.091,0.001,-0.0036,0.233,0.032,0.005,0.314,-0.075,-0.0055
18,-0.0224,-0.001,0.031,0.000151468,0.004584518,-0.0011,-0.003,0,-0.000232333,-0.0011,-0.00142,0,-0.074,-0.0015,-0.0045,0.124,0,-0.0039,0.292,0.03,0.0045,0.359,-0.073,-0.0052
21,-0.0218,-0.001,0.029,-0.001058173,0.004636285,-0.0011,-0.003,0,0.000192628,-0.0011,-0.0014,0.001,-0.072,-0.001,-0.0042,0.162,0,-0.0042,0.35,0.029,0.0038,0.398,-0.071,-0.0048
24,-0.0209,-0.001,0.027,-0.00261806,0.004680819,-0.0011,-0.003,0.001,0.000415508,-0.0013,-0.0014,0.001,-0.07,-0.0004,-0.004,0.206,0,-0.0043,0.406,0.027,0.0031,0.431,-0.069,-0.0043
27,-0.0199,-0.001,0.025,-0.004582388,0.004681144,-0.0011,-0.003,0.001,0.00128,-0.0016,-0.00139,0.001,-0.068,0.0002,-0.0039,0.257,0,-0.0042,0.461,0.024,0.0024,0.456,-0.067,-0.0038
30,-0.0187,-0.001,0.023,-0.007303702,0.004596567,-0.0011,-0.002,0.001,0.00223336,-0.0021,-0.00138,0.001,-0.066,0.0011,-0.0035,0.312,0,-0.0041,0.514,0.022,0.0015,0.472,-0.065,-0.0032
